drugbank_id	cancer	cardiovascular	hormonal	immune	neurological	ophthalmological
DB00441	4			2.5	2	
DB00442	2			4		
DB00443	2		4	4	4	2
DB00444						
DB00445	4	3				
DB00447						
DB00448	3		4	4		
DB00449						0
DB00450	4					
DB00451						
DB00454		3			2.5	
DB00455	2			3		
DB00457	4				2	
DB00458	1	3			4	
DB00459	2			4	2	
DB00460	2					
DB00461				4		
DB00462						
DB00464			2			
DB00465	4		4	4	4	4
DB00469				1		
DB00470	1			3	4	
DB00471			3	4	2	
DB00472	2	4	1		4	
DB00474					4	
DB00475					2.5	
DB00476	3	1		4	4	
DB00477	1.5				4	0
DB00479				0		
DB00480	3			2	2	
DB00481	3			0	4	
DB00482	4		1.5	4	4	
DB00484	4		2.5	4		4
DB00485				4		
DB00486	2.5			3	3	
DB00489		4				
DB00490		3			4	
DB00491			3			
DB00492			4	4		
DB00493			4			
DB00494					4	
DB00495				2		
DB00496					0	
DB00497	2.5	4		4	3	
DB00498		4				
DB00499	4		0			
DB00500						
DB00501	2.5			3	1	
DB00502	4				4	
DB00503	2			4		
DB00507			4	4		
DB00512	2		4	4	2	3
DB00513		2		4		
DB00514	1	2	4	4	4	
DB00515	4	3		2	2	
DB00516						
DB00518				0	2.5	
DB00519			4	4		
DB00520	0					
DB00521						3
DB00523	3			4		
DB00524				4		
DB00526	4	3				
DB00527						
DB00529				4		
DB00530	4			2		
DB00531	4		0	4	2.5	
DB00532						
DB00533	4			4	2.5	
DB00535				4		
DB00537	4		4	4	0	4
DB00539	4					
DB00540	1			2	4	
DB00541	4					
DB00542			4	4		
DB00543						
DB00544	4	2		1		4
DB00545					2	
DB00547				4		
DB00548			4	4		
DB00549						
DB00552	1.5					
DB00553				3		
DB00554				2	2	
DB00555				4	4	
DB00557				4	4	
DB00558			2	3		
DB00559	2		4	2.5		1
DB00560			3			
DB00561					2	
DB00562						
DB00563	4	2.5	0	4	2	
DB00564		3		4	4	
DB00566					1.5	
DB00567	4			2		
DB00569	2	4		2		
DB00570	4					
DB00571	4	3	2	2	4	
DB00572	2					4
DB00573						
DB00574					4	
DB00575	2	3	4	4	4	2
DB00577	3			4	4	
DB00580				4		
DB00581			4	2.5	0	
DB00582				1		
DB00584	3	3	4	4		
DB00585					4	
DB00586	4	4	0	4	4	4
DB00588	3		1	4		4
DB00589					3	
DB00590	4	3	4			
DB00591				0		3
DB00592	3			2		
DB00593					4	
DB00594			4	3	4	
DB00595			3			
DB00596				4		
DB00598		3				
DB00599					0	
DB00601			4			
DB00602	2			4	4	
DB00603	3	3	1	3	4	
DB00605	3					
DB00606						
DB00608	2			4		
DB00611					2	
DB00612	3	4	4			
DB00615				4		
DB00617						
DB00618	1					
DB00619	4	3	2	2		
DB00620	4	4	3	4		4
DB00622	1	3		4		
DB00623				2	4	
DB00624	4	2.5	4		4	
DB00625	2		1		1	
DB00626			4	2		
DB00627	3	3	4	2.5	4	
DB00628					4	
DB00630	3			4	4	
DB00631	2					
DB00633	4	4	0	4	4	4
DB00634						
DB00635	4		4	4	3	4
DB00636		3				
DB00640	1	3	0	4	2	3
DB00641	3	4	4	4	4	
DB00642	4					
DB00643	3			2		
DB00645						
DB00646				1		
DB00648	1					
DB00650	4	3	2	2	3	
DB00651						
DB00652					2	
DB00653	4	3	0	4		
DB00654			4	4		4
DB00655						
DB00656		4			4	
