drugbank_id	cancer	cardiovascular	hormonal	immune	neurological	ophthalmological
DB08882	1.5		4	4	4	
DB08883						
DB08885	4		4			4
DB08886	2.5					
DB08887	3	4	4		4	
DB08890	2					
DB08893	4		0		4	
DB08895	2			4	1.5	
DB08896						
DB08899						
DB08900				2		
DB08901	2					
DB08904	2			4		
DB08906						
DB08907	2		4			
DB08908		2		4		
DB08910	2					
DB08911	4					
DB08912	4					
DB08913	4					
DB08916	4					
DB08918		0		4	4	
DB08930				2		
DB08931				4		
DB08934				4		
DB08935	3			3		
DB08936						
DB08997	3	4		4	4	
DB09015		3				
DB09016						
DB09017					3	
DB09019				3		
DB09020	1				0	
DB09022			2			
DB09027				3		
DB09029						
DB09030		4				
DB09033	1.5		1	4		
DB09034			4		4	
DB09035	4			1		
DB09036	2		1		1.5	
DB09037	4	2		2		
DB09038		4	4	1	2	
DB09043			4			
DB09045			4			
DB09049	2					
DB09052	2					
DB09054	2					
DB09055			3			
DB09061	3		2	4	4	
DB09063	3					
DB09065	1					
DB09068	4		4		4	
DB09069			4			
DB09070	3				4	
DB09072					4	
DB09073	4					
DB09074	4					
DB09075		4				
DB09076						
DB09077	2.5					
DB09078	3	4				
DB09079	3			4		
DB09080				4		
DB09081					4	
DB09082						
DB09085			4	1.5		3
DB09087	2		3	0		
DB09096			4	4		
DB09099	4		4			
DB09106	4			4		
DB09110	2			2		
DB09111	4			4		
DB09118					4	
DB09119					4	
DB09121						
DB09125	4					
DB09126	0	2				
DB09128					4	
DB09130	4				1	
DB09132	1	1	4			
DB09138	3					
DB09141			4			
DB09146	4			4		
DB09151					3	
DB09154	4	2.5	1	4	2	2
DB09161	2	4	4	3		
DB09167						
DB09185						
DB09208						
DB09209				0		
DB09210		4			3	
DB09212				2		
DB09213						
DB09214	4			0	4	
DB09220		4	0			
DB09224					2	
DB09225					4	
DB09232		3				
DB09236			4			
DB09238			3			
DB09241	3				3	
DB09242			4		4	
DB09255			2			
DB09256	4					
DB09257						
DB09258	2	3	3			
DB09259		3				
DB09260		3				
DB09261		3				
DB09265			4		2	
DB09267				0		
DB09269	2					
DB09270	1	0	2	2	4	
DB09274	2			4		
DB09275						
DB09276	1					
DB09278	2		1	2	1	
DB09286					3	
DB09287	4			2	2	
DB09289					4	
DB09290	3			4		
DB09292	4	4	4			
DB09298	2		4		3	
DB09300	1.5				4	
DB09301						
DB09302						
DB09303	2	4	4			
DB09312	2		3	2	2.5	
DB09314	1					
DB09317						
DB09318						
DB09321				4		
DB09322				4	0	
DB09324	4					
DB09325	3			2		
DB09330	4					
DB09331	2			2	2	
DB09335						
DB09343						
DB09345					2	
DB09351						
DB09353						
DB09357						
DB09369	3	4	4	0	4	
DB09378						3
DB09381	2					
DB09389	2		1	1	1	
DB09397	2	0				
DB09401		2.5	3		0	0
DB09421			0			
DB09447	2					
DB09462		3	2	4	1	
DB09472	0					
DB09477	0	3	4	2		
DB09488						
DB09496				0		
DB09502	2	1		4	2	
DB09512	4					
DB09527	3				3	
DB09536	1					
DB09543			0			
DB09550						
DB09555	4			3		
DB09559	3					
DB09564						
DB09570	1.5			1		
DB10299						
DB10300						
DB10301						
DB10302						
DB10310						
DB10311						
DB10312						
DB10313						
DB10314						
DB10343						
DB10994						
DB10995						
DB11057	1.5			4		
DB11058	1		4	4		
DB11059	4		3			4
DB11061	4		0	2		0
DB11064				0		
DB11073				2		
DB11082				4		
DB11085						
DB11086						
DB11091	2		2	2		
DB11094	3	4	4	4	4	
DB11095		4				
DB11097	2		4			
DB11105						4
DB11110			2		2	
DB11123	2		2	4		
DB11124		0		4		4
DB11127	2					
DB11129	1					
DB11130						
DB11135	3	0				3
DB11136		0	4	2.5	0	
DB11157				4		
DB11175			4		0	
DB11198	3			1		
DB11218						2.5
DB11231	2		0	4		
DB11238				3		
DB11239	2		3	0		
DB11248						
DB11251	4	3	2.5	1	3	3
DB11255			4		0	
DB11286						
DB11300	4	4		4		
DB11341	3					
DB11358				4		
DB11362				2		
DB11363						
DB11510	2					
DB11560				4		
DB11569			2	4	2	
DB11580				2		
DB11581	2.5			1		
DB11595	4					
DB11596	4	3	2	2	3	
DB11597	1	3		3	4	
DB11611						4
DB11613				4		
DB11616	4					
DB11630	1					
DB11632					4	
DB11633				3		
DB11638				2		
DB11646	2					
DB11651	2					
DB11652	3					
DB11656				3		
DB11664	2				2	
DB11669	2					
DB11670		2				
DB11672	3		4	3	4	
DB11673			3			
DB11675	0	0	4			
DB11676				1		
DB11678	3					
DB11693						
DB11698			4			
DB11699	3				3	
DB11703	3			2		
DB11708				3		
DB11714	4			2		
DB11716	2					
DB11718						
DB11720			2	2.5		
DB11724	2					
DB11727	4	2				
DB11730						
DB11732					3	
DB11740	2					
DB11748			4		2	
DB11750	2	1.5		4		3
DB11752	2				2	
DB11757					3	
DB11758			2			
DB11759	2					
DB11760	3					
DB11763	1					
DB11764	1			2		
DB11765			2			
DB11767						
DB11771	3					
DB11776				4		
DB11781	1.5					
DB11783			3			
DB11791						
DB11793	3					
DB11804				2		
DB11805	2				2	
DB11812	3					
DB11815	1.5		2			
DB11817						
DB11823	2.5			4	4	
DB11824			4			
DB11827			4			
DB11828						
DB11829			3			
DB11830	2					
DB11832	2					
DB11834						
DB11837						
DB11841	3					
DB11842		3	4		2.5	
DB11851	2					
DB11853	4					
DB11859					4	
DB11868	4	3			4	
DB11873				2		
DB11875	2			1		
DB11886	3					
DB11888				1		
DB11892				3		
DB11894	2					
DB11896	3					
DB11898		2.5	4			
DB11901						
DB11906			1.5			
DB11918	2					
DB11919	2					
DB11936			2			
DB11938						
DB11944				4		
DB11945	3			2		
DB11949					2	
DB11951					4	
DB11960	3					
DB11963						
DB11967						
DB11972	3					
DB11973	2					
DB11976						
DB11986	3					
DB11988				3	1.5	
DB11994			3	4		
DB11998				3		
DB12001						
DB12015						
DB12016				2		
DB12017		4				
DB12023	3			4		
DB12025	1			2.5		
DB12028	2					
DB12035			3	4		
DB12036	3					
DB12053				2		
DB12054		2	0			
DB12056	2					
DB12070				2		
DB12072	1					
DB12081			2			2.5
DB12083	1					
DB12086				3		
DB12089	1.5					
DB12092	4					
DB12093					0	
DB12094				2		
DB12116	2		2		2.5	1.5
DB12117	4	3		2	2	
DB12123		2				
DB12126			0			
DB12127	4					
DB12131		2.5			1.5	
DB12137				2		
DB12149	1.5					
DB12151				3		
DB12153		4			4	4
DB12157				3		
DB12159						
DB12160				4		
DB12163		3	4			
DB12169						
DB12172				0		
DB12179	2					
DB12182	2			2		
DB12185	2					
DB12189				3		
DB12191	3					
DB12192				2		
DB12193				2		
DB12194	3					
DB12202	2					
DB12208	4					
DB12216				3		
DB12222	2					
DB12223				2.5		
DB12232	1					
DB12236			3			
DB12240						
DB12243		4			2	
DB12248				4		
DB12251						2.5
DB12257	4	3		2	2	
DB12267						
DB12274						
DB12275	2					
DB12286		4				
DB12290				2		
DB12291	3					
DB12293	3					
DB12308					4	
DB12319				3		
DB12321				2		
DB12328				2		
DB12332	3		2			
DB12335				3		
DB12340	2					
DB12344				2		
DB12361		2			2	
DB12371		2				
DB12376	1					
DB12379				0		
DB12385	2					
DB12391	2					
DB12401					4	
DB12406			2			
DB12415	3					
DB12417			4			
DB12422	2		2		4	
DB12436					2	
DB12445	1		2			
DB12447			4			
DB12449	1			2		
DB12453				2		
DB12457						
DB12458					1	
DB12459	3					
DB12465			1.5		0	
DB12466				3		
DB12472				3		
DB12473	1	4				
DB12478					3	
DB12484	2					
DB12492	4					
DB12498	1.5			1		
DB12518					1	
DB12522				2		
DB12525	3			1.5	2	
DB12534				2		
DB12539	1					
DB12543						
DB12545		4				
DB12549	2					
DB12551					3	
DB12554	0					
DB12561	1					
DB12565	2					
DB12571				2		
DB12577	2					
DB12579					2	
DB12582	2			2		
DB12589	2					
DB12590					3	
DB12593	3					
DB12596	2					
DB12598				2.5		
DB12610			2.5	2	2	
DB12612				3		
DB12617				3		
DB12618				1		
DB12622			0			
DB12624				2		
DB12637	2					
DB12638	1					
DB12647	3	3		1	3	3
DB12649			2.5			
DB12661		3				
DB12671			2			
DB12674						
DB12677	2					
DB12681	2					
DB12687				1		
DB12692			2	1.5		
DB12695	2					
DB12697	1.5					
DB12701	2					
DB12704					1	
DB12710					4	
DB12713			3			
DB12726		4				
DB12730	2					
DB12736	1					
DB12739			2			
DB12749		4				
DB12753				4	1	
DB12768	4		2	4	2	
DB12769	2					
DB12771	2.5					
DB12773				2		
DB12783					4	
DB12791				1		
DB12797	2					
DB12808			4			
DB12822			2			
DB12831				2.5		
DB12833					4	
DB12846				2		
DB12867					4	
DB12869					2	
DB12870	1					
DB12873	3					
DB12881	1					
DB12883					2	
DB12890					2	
DB12893						
DB12898			4	3	4	
DB12902	2.5					
DB12916	3					
DB12923				2		
DB12926		0				
DB12927		0				
DB12930					3	
DB12935			2			
DB12941						
DB12942	2			4		
DB12947	4					
DB12965						
DB12972					4	
DB12973				3		
DB12982	1				2	
DB12991			2	1.5		
DB13005	1					
DB13007						
DB13014				2		
DB13025					3	
DB13026	3					
DB13029				2		
DB13030	1					
DB13036				2.5		
DB13041				2		
DB13044	3					
DB13046	1					
DB13063				2		
DB13082					2	
DB13083			2	2		
DB13089					1.5	
DB13100	2	2.5	3			
DB13104	3					
DB13112	1					
DB13116				3		
DB13124		3				
DB13132				2	3	
DB13136		4				
DB13144	4	4	2	1	2	
DB13145	3					
DB13158				3		
DB13166			4			
DB13178	2		4	1.5	4	
DB13179						
DB13191					2	
DB13196						
DB13209						
DB13225						
DB13273					4	
DB13295	4					
DB13312			3			
DB13375	3					
DB13529			4	2		
DB13647	3					
DB13679	4			3		
DB13689				3		
DB13700			4			
DB13751				1.5		
DB13800	3					
DB13809	3					
DB13811	3					
DB13867	3		1	4	4	4
DB13872					3	
DB13877	3					
DB13896	3					
DB13909						
DB13931						
DB13943	2	2.5	4		3	
DB13944	2	2.5	4		3	
DB13946	2	2.5	4		3	
DB13952						
DB13953	3	4	4	0	4	
DB13954	3	4	4	0	4	
DB13956	3	4	4	1	4	
DB13959						
DB13961						
DB13973		2	2	3		
DB13985	2					
DB13997				4		
DB14001	3	3	2.5	1	3	3
DB14002	3	3	2.5	1	3	3
DB14003	3	3	2.5	1	3	3
DB14004						
DB14007	1	3	2			
DB14039				2	4	
DB14040						
DB14041						
DB14042				2	4	
DB14043				2.5	3	
DB14089					1.5	
DB14090				1		
DB14123	3		0	4	0	
DB14126	4			4		
DB14156				1		
DB14184				0		
DB14185					4	
DB14240						
DB14276			0	3		
DB14360	4					
DB14409						
DB14410						
DB14476						
DB14477						
DB14482	3		4	4	2	3
DB14484	3		4	4	2	3
DB14487						
DB14488	2					
DB14489		2				
DB14490	3		4	4	2	3
DB14491	4					
DB14507						
DB14509	2	3			4	
DB14512	3			4		
DB14514	3					
DB14517				2		
DB14518						
DB14533						
DB14539	3		4	4	2	
DB14540				4		
DB14541						
DB14543	3		4	4	2	
DB14544						
DB14545	3		4	4	2	
DB14548				4	0	
DB14574	3	0				
DB14581	1.5					
DB14585	2		4			
DB14596						4
DB14631	4	3	4	4	4	4
DB14632						
DB14643				4		
DB14644	4	3	4	4	4	4
DB14646	4		4	4	3	4
DB14649	4		3	4	4	4
DB14669				4		
DB14674	3					
DB14684	2		0			
DB14685						
DB14692			0	3		
DB14707	3					
DB14726	1	4	4	1	1	
DB14761				3		
DB14762						
DB14765	4					
DB14844	2					
DB14860	3					
DB14865	4		2	3	2	
DB14883				3		
DB14892	3					
DB14907	1					
DB14909	2					
DB14910				3		
DB14916			2			
DB14919					2	
DB14923			3			
DB14930	2					
DB14935	2					
DB14938	4					
DB14951	3					
DB14962						
DB14967	3					
DB14973				4		
DB14986	3					
DB14999	2	1		3	2	
DB15003				2		
DB15026				2		
DB15035	3			2		
DB15044						
DB15048			2			
DB15058					3	
DB15068	1					
DB15085		2	2			
DB15090						
DB15091				4		
DB15110	2					
DB15130				2	4	
DB15131	3			3	2	3
DB15133	2					
DB15134	2					
DB15145				3		
DB15149	2					
DB15157	1					
DB15167					1	
DB15171			4			
DB15173					2	
DB15198	1.5				2	
DB15206				2		
DB15217			1			
DB15247	2					
DB15280				1		
DB15281	1					
DB15289	2					
DB15293	2					
DB15295	2					
DB15297				1		
DB15317					3	
DB15327	3					
DB15328						
DB15347				2		
DB15351	3					
DB15357					3	
DB15359				2		
DB15366	1					
DB15383	2					
DB15394				1		
DB15410		3				
DB15412	1					
DB15427				2		
DB15534						
DB15550				3		
DB15566	4	3	4	4	4	4
DB15568	3					
DB15569						
DB15598	3			3		
DB15627						
DB15631	2					
DB15646				2		
DB15650			3			
DB15675				4		
DB15685						
DB15690						
DB15718				2.5		
DB15753	3			2		
DB15822	3					
DB15889	3					
DB15898				2.5		
DB15899				2.5		
DB15900				2.5		
DB16019	3					
DB16074				2		
DB16098						
DB16105	3					
DB16120	2		2		2.5	1.5
DB16124	3					
DB16130	1.5			2		
DB16139					2	
DB16142	3					
DB16145				3		
DB16151	1.5					
DB16165						
DB16175		2.5				
DB16179				1.5		
DB16183	1					
DB16216	3					
DB16222	3					
DB16225	2					
DB16226						
DB16241					2	
DB16242				2		
DB16250	3					
DB16252	1.5					
DB16261						
DB16293			3			
DB16300			2			
DB16306					2	
DB16351			3		3	
DB16355						
DB16385				2		
DB16386				2		
DB16390						
DB16421			2			
DB16533				3		
DB16555	3			2		
DB16650				3		
DB16695	3					
DB16703				2		
DB16732	2					
DB16778	3					
DB16863				1		
DB16879	1					
DB16886		4				
DB16892	3					
DB16927					4	
DB16972	3		4	3		3
DB17014					2	
DB17260	1					
DB17278	2					
DB17293	2					
DB17309	1					
DB17319	2					
DB17322	2					
DB17376	2			2.5		
DB17379	3					
