drugbank_id	Acne	Acquired Hypothyroidism	Acute Glomerulonephritis	Acute Myocardial Infarction	Addisons Disease	Alopecia Areata	Alzheimers Disease	Anxiety	Asthma	Autism	Benign Brain Neoplasm	Bipolar Disorder	Bladder Cancer	Bronchitis	Burkitts Lymphoma	Cataract	Celiac Disease	Cerebral Infarction	Colorectal Cancer	Crohns Disease	Cushings Syndrome	Deep Vein Thrombosis	Depression	Dermatitis Herpetiformis	Diabetes Insipidus	Diabetes Mellitus Type 1	Diabetes Mellitus Type 2	Eczema	Emphysema	Epilepsy	Female Breast Cancer	Gastric Cancer	General Frontotemporal Dementia	Glaucoma	Gout	Hyperplasia of the Prostate	Hypotony of the Eye	Intellectual Disability	Kawasaki Disease	Kidney Cancer	Liche	Lung Cancer	Lupus	Lymphosarcoma/Reticulorsarcoma	Malignant Brain Neoplasm	Melanoma	Migraine	Non-Specific Endophthalmitis	Obsessive Compulsive Disorder	Osteoarthritis	Parkinsonism	Phobia	Picks Disease	Prostate Cancer	Psoriasis	Pulmonary Embolism and Infarction	Purulent Endophthalmitis	Rheumatoid Arthritis	Rosacea	Sarcoidosis	Schizophrenia	Skin Cyst	Sleep Disorder	Unspecified Viral Infection (Common Cold)	Uterine Cancer
DB00811																							3			2	4				1.5										0																							5	
DB00813				4			0	0			1		4					2	4				4					0			3	3				0				4		4					4			4				4				4							
DB00814																																											1				3			5				3				5							
DB00816									5					5															5																																				
DB00818				0			4	0			4	0	4			4		3	4				4					1		4	4	0								4		4			4		2.5			4	4			4							4		1		3
DB00819			4															2								2	2			5				5								1				1								1							1.5				
DB00820																		2			2		1.5			3	4							3		5						2									4			3						2.5					
DB00821																																																		5															
DB00822								4																							2											2.5				2								1											
DB00825																			3								0	5				3															0			2.5														4	
DB00828																			2																																			4											
DB00829								5								0							4							4																															3				
DB00831								5																																																					5				
DB00832																														5																																			
DB00833														5																																																			
DB00834							2	4			5	2									4		3				2				3											2			5									2											2
DB00835																												5																																				5	
DB00836																			3									2			2											3																							1.5
DB00838																												5																											4										
DB00839																											5																																						
DB00841				2																																																													
DB00842								5																						5																															3				
DB00843							5	3		4	3	4						4					4				2				2											3			3		2				4										4		4		
DB00844																2												4																						4															
DB00845																				4																																													
DB00846																												5																																					
DB00847									1														0																																						0				
DB00848	2.5		3																5			2																																											
DB00849								5																						5																																			
DB00850							3	3																																																					5				
DB00851																			1												1									1		1				5																			
DB00852									5					4																																																		5	
DB00853											4		1.5						2												2									2		3			4	5								1.5											2
DB00855	3										3		3						1.5	1.5								1			3														3														4						
DB00857																				2							0																																						
DB00859											2																																															5							
DB00860			5	2	5	4			5		5				4	4	2.5	3	2	5	2			5		4	4	5		4	4			4	2.5				3		4	2	5	4	5	2	4	5		4				4	5			5	5	5	4			4	
DB00861																											2																							5								5							
DB00862											1												3				4									2									1																				
DB00863																		0													2.5																							4											
DB00864			4			1	2		2		1				2					2						4	4	5			2									2	4		4	2	1	1				4				2.5	3			4						4	
DB00869																										0	0							5																															
DB00871									5					5												1		5	5																																				
DB00872																		2																																															
DB00873																4																		4																									5						
DB00874														5																																																		5	
DB00875								3															5																																						5				
DB00876																										5	5																																					4	
DB00877				4			2			2	2		3	2	2			0	2	0			2			4	3			2	3	2	1.5		2					3	3	2	2.5	3	1.5	2		2		2	1.5		1.5	2.5				2		2				4	2
DB00878	0																									4	4	2.5			4																																	2	
DB00879							1																																																									4	
DB00880			5																																																													4	
DB00881																										5	5																																					4	
DB00882																											2																																						
DB00883																		2.5								3	3							0													0																		
DB00884																				4											4											2												4											
DB00885									5																																																								
DB00887			5				1			3																	1			1																					2														
DB00888											2				1.5													2													2	5		3	1																				
DB00889																												2			1																							4											0
DB00891																								5																																									
DB00892																2																																																	
DB00894																															5																																		
DB00897								3																																																					3		5		
DB00898	4			0		4					2		3						1							4	1				3					1.5														0														2	
DB00899											4					4		3	0				2.5							0	0	0										4			4					4	0			0											
DB00900																																																																0	
DB00902																												5																																					
DB00903													1																					1.5																															
DB00904											2	4			2	0			0				3					4			4													2	2				4	0	2			4							3				
DB00905						4										4															0			5													2																		
DB00906								4				5																		5																						4									3				
DB00908				3			4			2													2																								2				2													1	
DB00909												4																		5																	4				4										3				
DB00911																																3																																	
DB00912																										0	5																	1						1	1			1				1							
DB00914																																														1																			
DB00915																		2					4				2						4																		5		4								4				
DB00916				4					4				1						3	4		4					2.5				2	1									2	2		2		2								2					5						1
DB00917																																															0																		5
DB00918																																															5																		
DB00920				4					4																			3																																					
DB00921																							4																											4								4							
DB00922				4														2																																															
DB00924																							1																								3																2		
DB00927				4														2													2.5	2																		4					1						4			2	
DB00928											1		1		1				2												2									2		2		3		2								2											
DB00929																																																		3								3							2.5
DB00930																				4						0	5	2.5			2																																		
DB00933																																																													5				
DB00934								5				5											5																																						3				
DB00935											4					4		3																											4					2								2	4					5	
DB00936	5			5														2	1				2			2	2.5	5																			5			5					5			5	0					5	
DB00938									5					4									4						5																																				
DB00939											0	2																																	0					5								5			2				
DB00942																																																			5														
DB00943																																																																0	
DB00944																																		5																															
DB00945				5					4			3	4			3		5	3	3		4	3			4	4		2	2	3	4			5				4			3	4			2	5			5				4		4		5			3		1	5	2
DB00946				5																		5																								1										5									
DB00947											2								1.5												5	2										2	2		2									2											2
DB00949												2											2							5																																			
DB00950									3														0			3	3	4							4							1								1.5					1			1.5							
DB00951																											4																			1																			
DB00952																																															5																		
DB00953																																															5																		
DB00956							4												4																															3														5	
DB00957	5													4		4						0	1			3	3				3																1	4									4				1				
DB00958											5		5		4				3												5	3								3		5		4	3	3								3											5
DB00959			5	2	5	4			5		5				2	4		3	2	5	2	2		5		4	4	5		1.5	4		1.5	4	4				1			2	5	3	5	2	4			4	1.5		1.5	3	5			5		5				4	
DB00960				5																			4																																										
DB00961													4					2																																4				4											
DB00962								3															2																																						3		5		
DB00963																4																		4																															
DB00964																																		5																															
DB00965																			4			3																				1				2				1															
DB00966				4			2											5								5	5																																		4			4	
DB00967									4																			3														2																						5	
DB00968																										2																																							
DB00970											3																													3					3	5																			5
DB00971																												5																																					
DB00972									4																																																							3	
DB00973				4		1	0											4								3	4																											1										0	1
DB00974				3															3		2										1																							3											
DB00975				5								4						4				4																					0							2								2			0			2	
DB00976									3					4																																																			
DB00977	5							0				2		4		4						0	2			3	3			1	5											1	1				4	4		1				5	1		4	1			1				2.5
DB00978														5																																																			
DB00979																4																																																	
DB00980																																																															5		
DB00981																																		5																											0				
DB00982	5						1.5				3				1				1									4	2		3									3		3		1	2	0								2					3						
DB00983							2		5					4												0			5													1																							
DB00984																															5																																		
DB00986									3				4										1							4								3													2														
DB00987											2				4																3												2	4	1	3								2											
DB00988											1												2			2	2																				2.5				5														
DB00989							5	3										4																																	4										3				
DB00990																															5									1		2												2											2
DB00991																																																		5								5							
DB00992	2																																																																
DB00993																				5								3															5							4								5							
DB00994																			2	2																																													
DB00995																																										1.5													5			5							
DB00996						1	4	3	4	4		5	2.5			4			4				3				4	4		5	3																			4		5		3							3		3		
DB00997											3		5		5				3				2								5	2								3		5		5	3	1								3										2	3
DB00998																																															5																		
DB00999			5	4				4										4							0	4	4																																					4	
DB01000														5																																																			
DB01001									5					4									1																																										
DB01002							0				4		0			2.5			4	4			4			0	0	4		0	4					4				4		4			4		4			4				4									0		3
DB01003							1		5									3										2			2																								2				1.5		1.5				
DB01004											1															2																			1	1																		4	
DB01005									2		5							3											1.5			2										5			5	5								5	5									2	5
DB01006											1																1.5				5											2			1																				3
DB01008											2				2																3		2							1		1	1	3	1	1							2.5												
DB01009																							1					0																			3			5								5							
DB01011								1													3		4																																										
DB01012																																																						2											
DB01013						4										3			2			1.5						5													2.5									3					4			3							
DB01015											1		4	5												4	4	2								4							4		1									4											
DB01016											1.5							3								4	5																		1.5																				
DB01017	5						2	2	2	4	2.5	4		5				4	2				4			0	0				2									3	3	2							2	3	2							3	4		4				
DB01018							3	2		4								2					4																													2									4		4		
DB01019																											1																																						
DB01020																		2.5								3	3							0													0																		
DB01021			5																																																														
DB01022				3			1													1		4																												1				1	1	4		1							
DB01023																											3																																					4	
DB01024			4								1				2					2						4	4	4			1.5									2		1.5	4	3	1	2				2					5			1		3				4	
DB01025																											2	5																																					
DB01026	3						1				1																2	5			2														1	1								3	2						1				
DB01028				3																																																													
DB01029				4																						5	5																																		0			4	
DB01030											3								2												2											5		2	3	1								2											3
DB01031																																																															5		
DB01032																											1			4					5																														
DB01033											2				1.5					4											2														2																				
DB01035				3																																																													
DB01036																																				4																													
DB01037							5					4											5																												5			2							5				
DB01039											2											0				4	4																																		0			3	
DB01041							2.5				3								3	5								4		1.5	2	4								3	2	4	4	3	3	2				4				3	4			5		3				2	2
DB01042											2				4				3	1.5											5									2				4	2	3								2.5											
DB01043							5	3		4	3	4						3					4							4	3		4	3				2				3	2		3		3		3		4	3	4	2							4		1		
DB01044														5		4																																0									0								
DB01045							3															1				4	4															1		1		1				3	1							1		2				1	
DB01046																			3							0	0																								4														
DB01047						4																						5			2																								1										
DB01048																																																							1										
DB01050				0			4	4	3										0				4			2		0	2	2	3			0	5						2.5					1.5	4			5								5						3	
DB01053																																																							2										
DB01054																																																																4	
DB01057																																		5																															
DB01058																														2.5																																			
DB01059														5																																																			
DB01060			0	4							3		3	4								4				3	3					3												2	1				4		3			4		4									
DB01062																															3																				0			2											
DB01063																																																													5				
DB01064								0															0																																									5	
DB01065				2			3	3		4	2	4				1.5		4					2.5			3	3	2		4	2.5					0		1							2	3	3			0	4										4		5	2.5	
DB01066														5																																																			
DB01067																										4	5																																						
DB01068								5				5											4							5																					2	4									5				
DB01069								3	4	2								2	1.5	2			2				3	4			2.5	2									1	2	3	2			4			0				4							3		4	3	3
DB01072																										1	2																																					2.5	
DB01073											1.5		1		3				2	2									1.5		2	1.5								2		2	2	3	1.5	3				2				1	2			2							
DB01075								5	4	2								2	1.5	2			2				3	4			2.5	2								2		2	3	2			4			0				4							3		5	3	3
DB01076			2	4			4		2.5									5	2	2		4			2	4	4			1	4								2	2		2.5	4	2		2				4				3	3			4		2			0	1.5	1
DB01077																																																						4											
DB01080																														5																																			
DB01081																															2																																		
DB01083																											4																																		0				
DB01084																												5																																					
DB01085																3															3			5																															
DB01086									2																			5																																					
DB01088				1.5					1																		0															2																		4					
DB01089																																																													5				
DB01091																												3																																					
DB01093																												2			2															3				1.5															
DB01097											3																				1.5												3			1				4				2.5	5			5						3	
DB01098				4					1									5	3	1		4	2				4				3			4								1	4			1				2.5	1			4	4	3		2.5						1	2
DB01099											1.5		1						1.5												1														1.5																				
DB01100								3																														2																							4				
DB01101											4		3		1				5												5	5								2		3		1	4	1.5								2											2
DB01103																																										1												2											
DB01104				4			4	5		3		4						4					5				4	2		4								3									1		5		1.5	5									4		3		
DB01105												4																																																	4				
DB01106																																																																0	
DB01107																																																															5		
DB01108																																																						2											
DB01109				5														5	3			5				2.5	3																							4						5								4	
DB01110																						2						4													0																								
DB01112																0																																1.5		4							1.5								
DB01113																																		2.5		1				4		1												2		5					1				
DB01114														4														5																																				5	
DB01115																						0				3	3			2													1																					4	
DB01117																																										1																							
DB01118				4														3																																														2.5	
DB01119																							1.5			4	4																																						
DB01120																										4	5			1																									2										
DB01121																														5																																			
DB01123																																1																																	2
DB01124																											5																																						
DB01125				5																		5																																		5									
DB01126						3																	1													5																		4											
DB01128													2																		3																							5										1	
DB01129		4							3																							4										2.5								3								3					4		
DB01130																												5																											1										
DB01132				4			3		2	2	1	4						3		1			4			4	5	0			2											2	4		1	1.5				3	2			3	2			3			4			4	
DB01136				5			4															0					4			2.5	3																				2												1		
DB01137											3		4	5		4										4	4									3						3						4						4			4			2				4	
DB01138				5																		5													5																														
DB01142								5				5											5					5														2									1										3		5		
DB01143											2		2						2												2											3			2	1								2											2
DB01144																																		5																															
DB01146																												5																																					
DB01147																										4	4																							5															
DB01149								4															5																													4													
DB01150														5																																																			
DB01151								0															5																			2																			2				
DB01153																												2																																					
DB01154								5																																																									
DB01155														5																																																			
DB01156				4			3	3				4	4							2.5			5				4				4	4										4				1								1							4		4		
DB01157																			2																																														
DB01159									5																																																								
DB01161																3																																																	
DB01162																											4									5															2														
DB01165											3		4	5		4										3	3							3		3						3						4		0				4			4			2				4	
DB01166				4			4											4					0			4	4				1.5																1			3								3							
DB01167							1		1		4						1			2		1				1	1				0											2		1	4	1				1				2				1						1	
DB01168											5																															5		2	5	5																			
DB01169											2		2						1												2									2		2			1	1								2											2
DB01171								3															5																																						3				
DB01172																			3																																														
DB01173																			4																															1	5														
DB01174								3																						5	1.5																5							2							3				
DB01175																							5																																										
DB01176																																																																5	
DB01177															4																5													4																					
DB01178								5																																																									
DB01179											2		2		2																											3		3	1	1								1											
DB01181									2		3		2		4																5	5								3		5		4	0																				3
DB01182				3																																																													
DB01183																		4					4			4		3		3																				4	3														
DB01184																															4																				4														
DB01185																															5																																		
DB01186																																																			5										0				
DB01188																												5																																					
DB01189											0		0					0	2												4											4			0					4				4											
DB01190	5												4															0			0											2						4									4		2.5						
DB01193				5																																																													
DB01194																0																		5																															
DB01195				3																																																													
DB01196																															2									2														5											
DB01197																										5	5															2																5						4	
DB01198								4															1																											3	1							3			3		5		
DB01200							1.5																			2	4											2													5										4				
DB01202							2	3			4	4						3					0							5															4		0		2.5		4	2									3				
DB01203				5					2																																						4																		
DB01204											1				2																5	1												3										5											
DB01205																																						1											2		1.5														
DB01206											5								5												1.5									5		5		2	5	5																			
DB01210																																		5																															
DB01211			0	4					4					5						4		4	1									4										2		2							1.5			1										4	
DB01212												2						3					0			4	4																								2										1.5				
DB01214																																		5																															
DB01215																																																															5		
DB01216	2					5																														5						2												5											
DB01217																														2	5											2																							2
DB01218																							1																																										
DB01219																		5																																															
DB01220							2										0		3	3		0					0				2																				3								2						
DB01221								4	3	2	2.5	4				4		2.5	4				4					2		2	4											4					1		2	2	2	1		4							4			2	
DB01222									5					4			4		3	5									4		2											4				2																		4	
DB01223				4					5				1	5															5																																				
DB01224							4	4		5		5											5				0																						4	0	4	4									5		4		
DB01225			2.5	5												4		4				5										3										3		1.5						4						5								4	
DB01226																																				4																													
DB01228				3																																																													
DB01229				3							3		3		1				3												5	3		5		2				3		5		1.5	3	3				2				3	2			2						2	3
DB01233				4														4	0												4																4							4											
DB01234			5		5				5		2		2		5	4			3	5		3	4	5		4	4	5		0	4	2		4		4				1.5	3	4	5	5	2	2	4	4		4				4	5		4	5	5	5				4	2
DB01235							4		1									4					4			1	1																								5										2				
DB01236				4			0				4		0			0		0	4				4							4	4									4		4			4					4				0											3
DB01237								5																																											5												5	5	
DB01238							4	4		5		4											4																										4		4	4									5				
DB01239								3																																																					5				
DB01240																											4																				0									4								5	
DB01241							1																				1																																						
DB01242								5															5																										5												3				
DB01243																												5																																					
DB01246																												5																																					
DB01247							1																5																																										
DB01248											3		3						2												5	5								2		5			3	5								5											3
DB01251																											5																																						
DB01252																											4																																						
DB01254							2				2		2		1				2												2	2								2		2		2	2	2								3											2
DB01255								4		4		4											4																																						3		2		
DB01256																												4																																					
DB01257									2																																																								
DB01259											2		2.5						2												5	3								1		2			2	2								2											2
DB01260									5											5								5																											4										
DB01261				4																	4					4	5																												2										
DB01262													1		1				1.5												2											2		4		1.5								1.5											
DB01263											1									4																									1																				
DB01264									1																																																							4	
DB01265																															3											0																						4	
DB01267								3		3		5											5																										2												5		2		
DB01268											2.5		2		1				3												3	2								3		3		2	2.5	2								3										1.5	2
DB01269											1.5		2						5												2	3								1		2			1.5									2											
DB01270																4							1			5	5							4												4																			
DB01273							2		4			4	0										4									0										3									4										4				
DB01274							2		4					5												0			5													1																							
DB01275							3											3	1.5								4				2											1																							
DB01276				4			2											2							4	4	5																								3				0						4				
DB01277				1.5						2										2.5						0																																							
DB01278							1																			5	5																																		4				
DB01281			2			2			2											3						2																	3							4					5			5		2					
DB01283																																																		5								3							
DB01285			5																							4	4			2	0				0								4				2	4		4					4			4		5					
DB01288									5																																																								
DB01291									5					5															5																																				
DB01294																																																																5	
DB01296																																																		5															
DB01303									5					5															5																																				
DB01306																										5	5																																						
DB01307							2																			4	4																																						
DB01309				3			2																			5	5																																						
DB01320																														5																																			
DB01322								5															5																																										
DB01324			5																																																														
DB01325			5																																																														
DB01327																										4	4				0															1		4		4				3			4								
DB01329																			0																																														
DB01339																																																		4															
DB01340																											4																																						
DB01348																											4																																						
DB01351								5																						5																				1.5													5		
DB01353																																																															5		
DB01359				5																																																													
DB01364									5		4			5																															4																			5	
DB01366									4																																																								
DB01367							2																4																												5										4				
DB01373				4			2.5			2	2	2						4	4	4		4	4			4	4				3	4								2		3	4	2		2	0			4	2			3				4	1				4	2	
DB01377																			4								3				2																																		
DB01380	5		5		5				5						2					5				5			1	5														1.5	5	2.5		1.5				2.5				3	5			5	5	5					
DB01382																											5																																						
DB01388											1																																																						
DB01392								3															2				2																								1	3													
DB01393				4								2															2																																						
DB01394				4					3									3								2	2	1							5															4				2				2						3	
DB01395	5							0				2											2																																										
DB01396								5																																																									
DB01399							1																			2.5	2.5																							5								5			4				
DB01400											0		4																		2	0													0																				
DB01403								5				5																																																	5				
DB01406																																																																	2
DB01408									4					4																																																			
DB01409									5					5															5																																				
DB01410									5																																																							2.5	
DB01412														3																																																			
DB01413															1											4	4																	1																					
DB01415														5																																																			
DB01418				0														4				4																								1										4									
DB01420																															5																																		
DB01425																															4																																		
DB01432				3																						4	4																																						
DB01435									2																																																								
DB01436			4																							4	4				2												4							3															
DB01437																																																															5		
DB01440							4			0		0											0																												4										2		2		
DB01452																			0																																														
DB01454								2		2																																										2													
DB01488								2															2																												2														
DB01544																																																															5		
DB01551																																																																5	
DB01558								5																																																					3		5		
DB01559								5																																																									
DB01563								3								0														3																															3		5		
DB01576							4					2						2					4																										0												2				
DB01577																			1.5							2	4																							3								3							
DB01580								5																																																									
DB01584		5																																																															
DB01586																			2.5								4	2				4																		2	1							2		2					
DB01588								5																						5																																	5		
DB01589																																																															5		
DB01590				4						2.5	2		2		1.5				2							1.5				2	5	3								3		4		3	2	2								3										4	2.5
DB01591							2																								2					4															4			3											
DB01592																	0		4							2					1																			4															
DB01593	4					1.5																																			4																							1	
DB01595								3																						5																															3		5		
DB01599							1.5											4								4	4																																						
DB01600																																																		5								5							
DB01601											2																																		2																			4	
DB01605																																																						4											
DB01606														0												4	4																																						
DB01607														0																																																			
DB01609															2																2													2																					
DB01610																							1.5									2																																4	
DB01611				4		4					1.5								2	2		3				2	2				2										2	2	5			2				4				2				5		3				4	
DB01616													0																																																				
DB01618																																																													5				
DB01619																												5																																				5	
DB01620																												5																																				5	
DB01621																																																													5				
DB01623																																																													5				
DB01624								3																																																					4				
DB01628									0																	0	0				0				4											1.5				4				2				4							
DB01638							2																																											2.5	2														
DB01645											2		2						1.5												2									1		1.5			2	1								2.5											
DB01708					3															2			2			1					4												3							1.5								1.5							
DB01744																																																																1	
DB01783	1					3																				3	3																																						
DB01873																			2												2											2												2											
DB01933																			1												1	1								2		2				2								1											1
DB01954																							1																																										
DB01987																											0																																						
DB02300	2.5					1																						2			2																			1.5					5										
DB02342																																																						2											
DB02513																											0																																						
DB02530																										1.5																																			2				
DB02546							1				2.5		2		2				2	1.5	2									2	2	1.5	1.5							2		2.5		2	2	2							1.5	2							1				2
DB02701	5						2						3					2					2				3				2											2.5	2	1		1.5					0				2.5						4				
DB02703	5													5												4	4	3														3																	5						
DB02709	4						2												1				4			1	2.5																							3	1										2			3	
DB02901																																																						1											
DB02959									2														4																																										
DB03010											2		2		2				2												3									2		2		2	2	2								2											2
DB03085	2																																																																
DB03128				4						4																	2																																		2				
DB03166											1				1				0								0				1											2		1										2											
DB03209																																5																																	
DB03247																				3																																													
DB03255							2		1																			5																			2			4								2							
DB03312																			1.5																																														
DB03366											2								2																							0			2	2					4			2											
DB03424																		3																																															
DB03496																															1.5	2								2		1		1.5		2								2											2
DB03516																			3												2																																		
DB03568																										1				4																				2								2			2.5				
DB03695													2																											2																									
DB03793	0																																																																
DB03843																																																																1.5	
DB03852																											0																																						
DB03904																												5																																					
DB04106											3																																		3	3																			
DB04216							2												2.5								2														1	2.5								1.5				1											
DB04253																																																						1											
DB04272										3					2	2						2.5				1					4							2						2											4									1.5	
DB04339														1																																																			
DB04398																												5																																					
DB04468																															2.5																																		
DB04571											3		1.5																													2			1										5										
DB04572											3		5		2					1.5									1.5		5									1				3	3																				
DB04575																															5																							5											
DB04743																															2																			4															
DB04786										1.5	2		1																		1.5											2			2									3											
DB04815	5																											5																																					
DB04817																		4																													3																		
DB04829								2															2																																										
DB04830																																												2.5																					
DB04835																		2.5	1																									2						2								2		0				2	
DB04837																																																																5	
DB04839	4																																			1																		3											
DB04841																																															5														4				
DB04842								3																																																					5				
DB04844																																																													2				
DB04845																															5																																		
DB04849											1				1				3												2	1										3		1	1	2								2											3
DB04854																										4									5																														
DB04858																			2													2										3																							
DB04861				4														2									4							2																															
DB04864							5																							2																															4				
DB04876																						4	1.5			4	5																																		2				
DB04878				0																							4																																						
DB04879											2								3												2									1		2		2		2								2											1
DB04890																												3																																					
DB04892							1.5																																												3														
DB04896										4								0					5							4													4				4			4								4							
DB04899				2																							0																																						
DB04900																			3																							2				2																		3	
DB04905																															2																																		
DB04920											4							3												4															4																				
DB04925																		3																																															
DB04931	2																	2										3																																					
DB04932																																							2																										
DB04936																											3																																						
DB04946												4											4																												2										5				
DB04950																																										2																							
DB04951			2	2																						3	3				1.5											1.5								2								2		4				4	
DB04953																							2							5																																			
DB04958																																											3	2																					
DB04960											2		2						2												2									2		2				2								2											
DB04967											2																															2			2																				
DB04996											1																				2											2			1									3											
DB05010							2																																																										
DB05015													1.5		2																1											2		2		2								1											2
DB05022																															2																							1.5											
DB05039														5															5																																				
DB05057														2																																																			
DB05076											2		3		1.5																3									2		2		1.5		2								2							3				
DB05087																							2							3																																			
DB05088																			2												2											1				2								2	2										
DB05097																			2												1.5																																		
DB05099																		3																																															
DB05100											2																															3												3											
DB05105									2																	2																																						2	
DB05109											2																				2											2												2											2
DB05136																			1												2.5	2										3				1								1.5											
DB05219																												5																																					
DB05229																										0	4																																						
DB05239																																														5																			
DB05245																												0			0																																		
DB05246																														5																																			
DB05254																		2				2				2	2																																						
DB05258											2		3						3							2	4				2	2								3		2			2	3		3						2	1									3	
DB05259																				2						4	4							3																															
DB05260											1																																																						
DB05266																																															1																		
DB05271							2	4										2					4										2																		5		2												
DB05273																															2																							2											
DB05296																			0													0										0												1											
DB05299													3																		3									2		2				1.5				2				1				2							
DB05316							2			2.5													3																												5										3		4		
DB05336																				5																																													
DB05351		4	0						4																	3					3				3									2						3															2
DB05374											1																																		1																				
DB05381									2																						1.5									2						3				3				2										2.5	
DB05382											1				2	0			1			3									2													2																				1.5	1
DB05383									0																	1	1																																						
DB05395								3															3																																										
DB05400							2																																																										
DB05418								2															2																													2											2		
DB05426																																										3																							
DB05428											3																				1									2		3			3									1											
DB05455																									3																																								
DB05463																			1																																														
DB05478																																																																3	
DB05482											3		2		1				4												3	4								2		4		1	3	1								1											1.5
DB05483																							0				4																																						
DB05524																			2																							2																							
DB05540											1																															2																							
DB05541											1																			3															1																				
DB05562								3															2							2																																			
DB05575											2								1												2											3																							
DB05578																			5												3	5										5				2								2											
DB05595																																										2																							
DB05624																																				2																													
DB05630																																														1																			
DB05656																																												1.5						2								2							
DB05667																												5																																					
DB05668											2				4																2											3		4																					
DB05676	2					4																						4													2									4					5			2	2						
DB05679																				5						2.5		2.5															3							3					5			2		2					
DB05697																			1																											1																			
DB05708										1																																																			2				
DB05737																																																																2	
DB05767														4					2																																														
DB05773											2		2						2												5	2.5								2		2			2	2								2											2
DB05786											1.5								2												2	2								2		2				2								2											2
DB05812													2						1		2										2											1.5												5											
DB05829																																																							2										
DB05889															1.5																													2																					
DB05892																																																		3															
DB05916																			2																									2		2																			
DB05941																															1.5																																	2	
DB05974																		2																																															
DB05996																															2											1.5				2																			
DB06016								4		3		5											4																													4									5				
DB06043																																										2												2											
DB06077																																																													5				
DB06119																														5																																			
DB06137																																1.5																						2	1										
DB06140							3																																																										
DB06144								3																																																					5				
DB06148								3															5																																						3				
DB06151				4					4	4	1	4		5				2					4			3	4	1	5	2	1	4	1.5									4	2		1	2	3		2		2		1.5			4				0	4			3	
DB06152																						5																																											
DB06155																											3																																		2				
DB06159											2		2						2												2	2								2		2				2																			
DB06176											1		2		1.5				2												2									2		2		2		2								2											
DB06186											3		2		1.5				3												2	3								4		4		1.5	3	5								3											2
DB06192											2								2												2	3										2			2																				
DB06193																															2													3																					
DB06195																					2										1											2																							
DB06196																																																		2															
DB06198											2																				2	2										2			2	2																			
DB06199											1															3	3													2														3											
DB06201								2																						5																																			
DB06203																											5																																						
DB06204																																																		4															
DB06207																																				5																		3											
DB06209				5					4									5				4					4																				0																		
DB06212																									4																																								
DB06213									4																	4																																							
DB06215											2		1					1	1												1									2					2		0							1		1									
DB06216												5											4																																						5				
DB06218								3			2																			5															2		2			2											3				
DB06224																				3																																													
DB06228				4														5	4		0	5										2											2.5				4			4						5								4	
DB06230																																																			2														
DB06235																																										3												2											
DB06243													3						3							2																												2											1.5
DB06246																			2.5												1.5											3												2											
DB06262																																																			5														
DB06263													2																		2											3																							
DB06266																																				3																													
DB06267							3												4																	2																													
DB06268									2																																																								
DB06271																						4				4	4																																						
DB06273																																																										5							
DB06274													3																																																				
DB06282									3										2									4																																					
DB06285																											4																							4					2			4							
DB06288							0	3				2											4															2											1												4				
DB06290																																																																3	
DB06292				4			1.5				1							2.5								4	5				2														1									1											
DB06294																						2																																											
DB06311																										2	2																																						
DB06335				3																						4	5																																						
DB06365																															1											2																							
DB06366											2		2						2												5	3								2		2			2	2								2											2
DB06370																			2												2	1.5								2						2																			
DB06372																										1									3															2								2							
DB06379		4																		0					0																						4			3															
DB06393							3												3																																														
DB06401																							4								2																			0								4			4				
DB06403									2																																																			2.5					
DB06404				2					4																																																							2	
DB06406																						3																																		3									
DB06410																																																						2	2										
DB06413							4				3	4						3					4																			4	0		3	1				4	2			3						2.5	4		4		
DB06414																							0																																									4	
DB06420																															1.5											1.5																							
DB06423																			3												3	3										4				2																		2	
DB06433																			2													2																																	
DB06436											1.5								2																							2				2								1											
DB06441				5														5																																															
DB06444											1																																		1																				
DB06448											1		2						1												2									2		3			1																			3	
DB06461																										2	2																											2											
DB06470								3																																																					3				
DB06480																	4			4			1																																										
DB06485											1								1													1													1																				
DB06506																		2																																															
DB06527							3																																																										
DB06554																							2																																								3		
DB06558																											4																				0									4									
DB06579																																																															2		
DB06582																																			2																														
DB06594								3															5																										2		4										4				
DB06595																			1																																														
DB06599																																2										2.5																							
DB06602									5					2.5																																																			
DB06603											2				2				2												2	2								2		2		2	2	1.5								2											
DB06605			1.5	3														5		1		5										2																								5									
DB06607													1.5																			3																																	
DB06612									5																																																								
DB06618																		2					2																																										
DB06624																											3																																						
DB06626																			2			2									1.5	1								3		2				2								2											2
DB06634								1															2																													1											2		
DB06635				3																																																													
DB06637																		2																													2				1.5			2.5											
DB06643																3			2	1.5							2				4				2					3		3	1.5			2				4				4				4							
DB06647																																										2				2																			
DB06650			2												2																													3		2				3								3							
DB06654																																																			5														
DB06655				0			2					3						0			4		3			4	5																							4	2				2										
DB06662																																											3																						
DB06663																					5										2	1										2				4								4											
DB06674									2											4			0			2																								4					5			5		2					
DB06678							3	3		3		4											4																			2								0											4		3		
DB06681			2			2			2											3						2																	3							4					4			4		2					
DB06682																																																		3				2											
DB06683											1								1												1									1		1			1	1								1										3	
DB06684								4															5																													0													
DB06688																																																						5											
DB06690								4				2							0				4							4				4													0		2																
DB06691																												5																																				5	
DB06692																															1																																		
DB06694																																																																3	
DB06695				4			1											5	1		1	5					4																							0				1		5								1	
DB06698										2													2																																						2				
DB06699																																																						5											
