drugbank_id	Acne	Acquired Hypothyroidism	Acute Glomerulonephritis	Acute Myocardial Infarction	Addisons Disease	Alopecia Areata	Alzheimers Disease	Anxiety	Asthma	Autism	Benign Brain Neoplasm	Bipolar Disorder	Bladder Cancer	Bronchitis	Burkitts Lymphoma	Cataract	Celiac Disease	Cerebral Infarction	Colorectal Cancer	Crohns Disease	Cushings Syndrome	Deep Vein Thrombosis	Depression	Dermatitis Herpetiformis	Diabetes Insipidus	Diabetes Mellitus Type 1	Diabetes Mellitus Type 2	Eczema	Emphysema	Epilepsy	Female Breast Cancer	Gastric Cancer	General Frontotemporal Dementia	Glaucoma	Gout	Hyperplasia of the Prostate	Hypotony of the Eye	Intellectual Disability	Kawasaki Disease	Kidney Cancer	Liche	Lung Cancer	Lupus	Lymphosarcoma/Reticulorsarcoma	Malignant Brain Neoplasm	Melanoma	Migraine	Non-Specific Endophthalmitis	Obsessive Compulsive Disorder	Osteoarthritis	Parkinsonism	Phobia	Picks Disease	Prostate Cancer	Psoriasis	Pulmonary Embolism and Infarction	Purulent Endophthalmitis	Rheumatoid Arthritis	Rosacea	Sarcoidosis	Schizophrenia	Skin Cyst	Sleep Disorder	Unspecified Viral Infection (Common Cold)	Uterine Cancer
DB00187				5							3							3								3	3																		3																				
DB00188											2		2		2				2												2	2								2		2	4	3	1	2				2				2				2							1
DB00189																																																															5		
DB00190									1									4					4			1	1																								5										2				
DB00191																											4																																						
DB00193											4					0			4				4			4	4	2			2														4	1.5	4			5								4					0		
DB00194															3																													3		2								1											
DB00195																																		5																															
DB00196							1			0										2								1																1																				1	
DB00197																											5																																						
DB00198				4																																																												2	
DB00199	5								4										4							1		0			2	2										3									0														
DB00200				3			3				2		2					3	1			0	2				2.5				2											3												2	3	0								4	
DB00201							3	4											0	4			2				4	1		0	2															1	5		0	1	3			1	1			1			0			5	
DB00202																		3					4																																										
DB00203						0					2		2					1				1	4		0		4		4					3		4				1		2.5	1		2		1			2	4			4		1		2			4				
DB00205																							3																																						3				
DB00206																											3																																		5				
DB00207	3			3					4					4		4			4	4						2																							2	3										2				3	
DB00208				3														5				5																																											
DB00209																																																													3				
DB00210	5																																																																
DB00211																		2																																	1														
DB00213		4		4														2				4				2	2.5				2	0																		0				2							2.5				
DB00214			5																								1																																						
DB00215				4			4	4	4	2		4						4					5					0		4	3	3	4									3							5	3	3	4	4					3			4		4		
DB00216																														3																	5																		
DB00218	4						1							5		4							1			3	3			1	3												1					4		1	2						4	1			1				
DB00220											1								1.5																					2		2	2			2								1.5											
DB00221									5																																																								
DB00222																										4	5																																						
DB00223																												5																																					
DB00224											2																																		2																				
DB00227									1.5	0								2													2															2				2	2			2				2							
DB00228									5																																																								
DB00230								4			2.5					2							3					4		4	3														2		3		4	4											4		3		
DB00231								5															5																																						3		5		
DB00233																			2	5																																													
DB00234								5										4					5																																						4				
DB00235				1.5														2																																															
DB00237																																																															5		
DB00238																																																																2	
DB00240																												5														2													2										
DB00242											1				2																													3																					
DB00243																				2							4																											0											
DB00244																			2	4																																													
DB00245																																																		2	5										4				
DB00246								4		2		4											4				0																						0			2									5				
DB00248																					4						0				1															4	0				5			4											
DB00250	5																	3						5				4														2																	2	2					
DB00252								3	4														4							5																															3				
DB00253																																																											5						
DB00254	5			3			3							5					2	2						4	4	2	4		2								2		2	2		2		1.5	0			3	2				0			0	4				2	1	
DB00255																															5																							5											
DB00256	4																																																																
DB00257																						2						4																																					
DB00260								4		3		4						2					4								3																		4			4									4				
DB00262											5				1.5				5												3											5		5	5	5								2											
DB00264				5														3									4	1			3											3					4								1										
DB00265																												5																																					
DB00266				5																		5																																		5									
DB00268												4						2					4							2																					5														
DB00269																						4																																											
DB00270												2											2																												3										0				
DB00273								3				5															4			5				4													5		4		2	4									3		2		
DB00274																			3																																														
DB00275																		4								5	5																																					4	
